objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,format
coll001,laberinto.jpg,,,El Corredor del Laberinto,James Dashner,2009,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",distopía;ciencia ficción juvenil,image/jpeg
coll002,viento.jpg,,,El nombre del viento,Patrick Rothfuss,2007,,fantasía,image/jpeg
coll003,hamlet.jpg,,,Hamlet,William Shakespeare,c. 1600,,tragedia;teatro;clásico,image/jpeg
coll004,sangre.jpg,,,Bodas de sangre,Federico García Lorca,1933,,drama;teatro,image/jpeg
coll005,habitos.jpg,,,Hábitos atómicos,James Clear,2018,,desarrollo personal,image/jpeg
coll006,imperio.jpg,,,El Imperio Final,Brandon Sanderson,2006,,fantasía,image/jpeg
coll007,angel.jpg,,,El Juego del Ángel,Carlos Ruiz Zafón,2008,,misterio;thriller,image/jpeg
coll008,azul.jpg,,,Nacido en un día azul,Daniel Tammet,2006,,romance;juvenil;ficción,image/jpeg
coll009,orgullo.jpg,,,Orgullo y Prejuicio,Jane Austen,1813,,romance;clásico,image/jpeg
coll010,anafrank.jpg,,,El diario de Ana Frank,Ana Frank,1947,,historia;biografía,image/jpeg
coll011,sapiens.jpg,,,Sapiens,Yuval Noah Harari,2011,,historia;divulgación,image/jpeg
coll012,divergente.jpg,,,Divergente,Veronica Roth,2011,,distopía;ciencia ficción;juvenil,image/jpeg
coll013,1984.jpg,,,1984,George Orwell,1949,,distopía;ciencia ficción;política,image/jpeg
coll014,meditaciones.jpg,,,Meditaciones,Marco Aurelio,c. 170-180 d.C.,,filosofía;estoicismo;clásico;desarrollo personal,image/jpeg
coll015,peliculas.jpg,,,Mejor que en las películas,Lynn Painter,2021,,romance;juvenil;ciencia ficción,image/jpeg
coll016,elmer.jpg,,,Elmer,David McKee,1968,,infantil;inclusión,image/jpeg
coll017,padre.jpg,,,"Padre rico, padre pobre",Robert Kiyosaki,1997,,finanzas personales;desarrollo personal,image/jpeg
coll018,monstruo.jpg,,,Un monstruo viene a verme,Patrick Ness,2011,,juvenil;drama,image/jpeg
coll019,montecristo.jpg,,,El conde de Montecristo,Alejandro Dumas,1844,,aventura;clásico,image/jpeg
coll020,diciembre.jpg,,,Antes de diciembre,Joana Marcús,2021,,romance;juvenil;ciencia ficción,image/jpeg
coll021,crimen.jpg,,,Crimen y castigo,Fiódor Dostoyevski,1866,,novela psicológica;clásico,image/jpeg
coll022,guerra.jpg,,,El arte de la guerra,Sun Tzu,s. V a.C.,,estrategia;desarrollo personal;clásico,image/jpeg
coll023,romeo.jpg,,,Romeo y Julieta,William Shakespeare,1597,,tragedia;teatro;clásico,image/jpeg
coll024,it.jpg,,,It,Stephen King,1986,,terror;horror,image/jpeg
coll025,reyes.jpg,,,El camino de los reyes,Brandon Sanderson,2010,,fantasía,image/jpeg
coll026,tao.jpg,,,Tao Te Ching,Lao-Tse,s. VI a.C.,,filosofía;clásico;desarrollo personal,image/jpeg
coll027,asesinato.jpg,,,Asesinato para principiantes,Holly Jackson,2019,,thriller;juvenil;misterio,image/jpeg
coll028,paula.jpg,,,Paula tiene dos mamás,Lesléa Newman,1989,,infantil;inclusión,image/jpeg
coll029,monje.jpg,,,El monje que vendió su Ferrari,Robin Sharma,1997,,desarrollo personal,image/jpeg
coll030,soledad.jpg,,,Cien años de soledad,Gabriel García Márquez,1967,,fantasía;clásico,image/jpeg
coll031,siega.jpg,,,Siega,Neal Shusterman,2016,,ciencia ficción;juvenil,image/jpeg
coll032,luna.jpg,,,Nosotros en la luna,Alice Kellen,2020,,romance,image/jpeg
coll033,dioses.jpg,,,Los dioses de cada hombre,Jean Shinoda Bolen,1989,,psicología;mitología,image/jpeg
coll034,aquiles.jpg,,,La canción de Aquiles,Madeline Miller,2011,,mitología;clásico;historia,image/jpeg
coll035,carrie.jpg,,,Carrie,Stephen King,1974,,terror;horror,image/jpeg
coll036,centro.jpg,,,Viaje al centro de la Tierra,Julio Verne,1864,,ciencia ficción;aventura,image/jpeg
coll037,franke.jpg,,,Frankenstein,Mary Shelley,1818,,ciencia ficción;clásico,image/jpeg
coll038,rayo.jpg,,,El ladrón del rayo,Rick Riordan,2005,,filosofía;clásico,image/jpeg
coll039,lagrimas.jpg,,,Fabricante de lágrimas,Erin Doom,2021,,romance;drama;juvenil,image/jpeg
coll040,aliento.jpg,,,El Aliento de los Dioses,Brandon Sanderson,2009,,fantasía,image/jpeg